date,quantity,status
2021-01-19,2792.0000000000014,recorded
2021-01-20,5205.000000000001,recorded
2021-01-21,3193.9999999999995,recorded
2021-01-22,3649.000000000001,recorded
2021-01-23,1636.0000000000002,recorded
2021-01-24,2944.0000000000005,recorded
2021-01-25,3935.0000000000023,recorded
2021-01-26,2143.000000000001,recorded
2021-01-27,2976.0000000000014,recorded
2021-01-28,4376.000000000001,recorded
2021-01-29,3167.0000000000023,recorded
2021-01-30,1808.0000000000005,recorded
2021-01-31,1144.9999999999998,recorded
2021-02-01,5063.000000000004,recorded
2021-02-02,2785.000000000002,recorded
2021-02-03,2938.0000000000014,recorded
2021-02-04,3705.0,recorded
2021-02-05,3328.0000000000014,recorded
2021-02-06,1722.9999999999995,recorded
2021-02-07,3696.0,recorded
2021-02-08,3845.000000000003,recorded
2021-02-09,2124.0000000000005,recorded
2021-02-10,5273.000000000001,recorded
2021-02-11,3876.999999999999,recorded
2021-02-12,3204.000000000002,recorded
2021-02-13,2919.0000000000023,recorded
2021-02-14,2200.0,recorded
2021-02-15,3678.0000000000036,recorded
2021-02-16,1810.0,recorded
2021-02-17,2201.000000000001,recorded
2021-02-18,3029.0000000000005,recorded
2021-02-19,3835.000000000002,recorded
2021-02-20,1776.0000000000007,recorded
2021-02-21,926.0000000000001,recorded
2021-02-22,5082.000000000004,recorded
2021-02-23,2254.0000000000005,recorded
2021-02-24,2668.000000000002,recorded
2021-02-25,4652.000000000002,recorded
2021-02-26,2648.000000000002,recorded
2021-02-27,1799.9999999999998,recorded
2021-02-28,1814.9999999999998,recorded
2021-03-01,4602.000000000003,recorded
2021-03-02,2734.000000000001,recorded
2021-03-03,2658.0000000000014,recorded
2021-03-04,3869.000000000001,recorded
2021-03-05,2866.000000000001,recorded
2021-03-06,1478.0,recorded
2021-03-07,1538.0000000000002,recorded
2021-03-08,3640.000000000002,recorded
2021-03-09,2749.000000000001,recorded
2021-03-10,3244.000000000001,recorded
2021-03-11,2592.000000000001,recorded
2021-03-12,4199.000000000004,recorded
2021-03-13,1689.0000000000007,recorded
2021-03-14,0.0,recorded
2021-03-15,552.0000000000001,recorded
2021-03-16,3721.000000000001,recorded
2021-03-17,3428.0000000000005,recorded
2021-03-18,3861.0000000000014,recorded
2021-03-19,3058.0000000000023,recorded
2021-03-20,1484.9999999999998,recorded
2021-03-21,761.9999999999999,recorded
2021-03-22,3735.000000000001,recorded
2021-03-23,3317.0,recorded
2021-03-24,2134.000000000001,recorded
2021-03-25,1073.0000000000002,recorded
2021-03-26,3262.0000000000005,recorded
2021-03-27,1766.0000000000002,recorded
2021-03-28,1690.9999999999998,recorded
2021-03-29,5391.000000000003,recorded
2021-03-30,2765.000000000001,recorded
2021-03-31,2428.0000000000014,recorded
2021-04-01,5312.000000000002,recorded
2021-04-02,2843.000000000002,recorded
2021-04-03,1650.0000000000005,recorded
2021-04-04,1388.0,recorded
2021-04-05,4049.0000000000027,recorded
2021-04-06,2580.0000000000005,recorded
2021-04-07,3779.000000000002,recorded
2021-04-08,3534.000000000001,recorded
2021-04-09,2749.000000000001,recorded
2021-04-10,1448.0,recorded
2021-04-11,2371.0,recorded
2021-04-12,3862.0000000000014,recorded
2021-04-13,2398.0000000000005,recorded
2021-04-14,3868.0000000000014,recorded
2021-04-15,4090.9999999999986,recorded
2021-04-16,2738.0000000000014,recorded
2021-04-17,1586.0,recorded
2021-04-18,491.00000000000006,recorded
2021-04-19,3934.000000000002,recorded
2021-04-20,3308.000000000001,recorded
2021-04-21,2437.0000000000005,recorded
2021-04-22,3584.000000000001,recorded
2021-04-23,2410.000000000001,recorded
2021-04-24,1341.9999999999995,recorded
2021-04-25,2205.9999999999995,recorded
2021-04-26,4001.000000000001,recorded
2021-04-27,2142.0,recorded
2021-04-28,2593.0000000000005,recorded
2021-04-29,4131.000000000001,recorded
2021-04-30,2940.0000000000005,recorded
2021-05-01,1443.0,recorded
