date,reference_date,actual,predicted,absolute_error,status
2022-05-18,2022-05-11,3785.000000000003,2818.0000000000005,967.0000000000027,evaluated
2022-05-19,2022-05-12,2314.000000000001,3492.0000000000005,1177.9999999999995,evaluated
2022-05-20,2022-05-13,5178.000000000001,3051.0000000000014,2126.9999999999995,evaluated
2022-05-21,2022-05-14,2095.000000000001,1873.0000000000007,222.00000000000023,evaluated
2022-05-22,2022-05-15,2967.0,1364.0000000000002,1602.9999999999998,evaluated
2022-05-23,2022-05-16,4095.000000000001,4682.000000000003,587.0000000000018,evaluated
2022-05-24,2022-05-17,3173.0000000000014,3835.000000000002,662.0000000000005,evaluated
2022-05-25,2022-05-18,3381.000000000002,3785.000000000003,404.00000000000136,evaluated
2022-05-26,2022-05-19,4779.000000000001,2314.000000000001,2465.0,evaluated
2022-05-27,2022-05-20,2512.9999999999995,5178.000000000001,2665.0000000000014,evaluated
2022-05-28,2022-05-21,1931.0,2095.000000000001,164.0000000000009,evaluated
2022-05-29,2022-05-22,2232.0,2967.0,735.0,evaluated
2022-05-30,2022-05-23,5252.000000000001,4095.000000000001,1157.0,evaluated
2022-05-31,2022-05-24,2142.0000000000014,3173.0000000000014,1031.0,evaluated
2022-06-01,2022-05-25,2592.0000000000005,3381.000000000002,789.0000000000014,evaluated
2022-06-02,2022-05-26,8298.000000000002,4779.000000000001,3519.000000000001,evaluated
2022-06-03,2022-05-27,5928.000000000002,2512.9999999999995,3415.0000000000023,evaluated
2022-06-04,2022-05-28,2133.0000000000005,1931.0,202.00000000000045,evaluated
2022-06-05,2022-05-29,1392.0000000000002,2232.0,839.9999999999998,evaluated
2022-06-06,2022-05-30,3377.0000000000014,5252.000000000001,1874.9999999999995,evaluated
2022-06-07,2022-05-31,2377.0000000000014,2142.0000000000014,235.0,evaluated
2022-06-08,2022-06-01,6652.000000000001,2592.0000000000005,4060.0000000000005,evaluated
2022-06-09,2022-06-02,4612.0,8298.000000000002,3686.000000000002,evaluated
2022-06-10,2022-06-03,4048.0000000000014,5928.000000000002,1880.0000000000005,evaluated
2022-06-11,2022-06-04,2339.0,2133.0000000000005,205.99999999999955,evaluated
2022-06-12,2022-06-05,1536.0,1392.0000000000002,143.99999999999977,evaluated
2022-06-13,2022-06-06,2605.0,3377.0000000000014,772.0000000000014,evaluated
2022-06-14,2022-06-07,2686.0000000000014,2377.0000000000014,309.0,evaluated
2022-06-15,2022-06-08,5128.000000000002,6652.000000000001,1523.999999999999,evaluated
2022-06-16,2022-06-09,4809.0,4612.0,197.0,evaluated
2022-06-17,2022-06-10,3102.0000000000005,4048.0000000000014,946.0000000000009,evaluated
2022-06-18,2022-06-11,2112.0,2339.0,227.0,evaluated
2022-06-19,2022-06-12,852.0000000000001,1536.0,683.9999999999999,evaluated
2022-06-20,2022-06-13,6014.000000000004,2605.0,3409.0000000000036,evaluated
2022-06-21,2022-06-14,2096.999999999999,2686.0000000000014,589.0000000000023,evaluated
2022-06-22,2022-06-15,2452.0000000000014,5128.000000000002,2676.0000000000005,evaluated
2022-06-23,2022-06-16,3593.0000000000005,4809.0,1215.9999999999995,evaluated
2022-06-24,2022-06-17,4274.0,3102.0000000000005,1171.9999999999995,evaluated
2022-06-25,2022-06-18,1629.0000000000002,2112.0,482.9999999999998,evaluated
2022-06-26,2022-06-19,1528.0,852.0000000000001,675.9999999999999,evaluated
2022-06-27,2022-06-20,3262.0000000000005,6014.000000000004,2752.000000000003,evaluated
2022-06-28,2022-06-21,2673.000000000001,2096.999999999999,576.0000000000018,evaluated
2022-06-29,2022-06-22,3683.000000000002,2452.0000000000014,1231.0000000000005,evaluated
2022-06-30,2022-06-23,4844.000000000001,3593.0000000000005,1251.0000000000005,evaluated
2022-07-01,2022-06-24,3023.0000000000014,4274.0,1250.9999999999986,evaluated
