date,actual,baseline,random_forest,evaluated
2022-03-19,1386.9999999999995,1673.0,1644.3611202667057,True
2022-03-20,488.00000000000006,40.0,1571.9441120129873,True
2022-03-21,3170.9999999999995,3129.0000000000014,3274.3657364579853,True
2022-03-22,2130.9999999999995,1595.0,2824.090513987566,True
2022-03-23,2876.0000000000005,2918.000000000001,3246.8860852951334,True
2022-03-24,1492.9999999999995,2808.9999999999995,3336.6092055160702,True
2022-03-25,734.0,2298.0,3037.473047731004,True
2022-03-26,1817.0,1386.9999999999995,1861.0905411255412,True
2022-03-27,246.0,488.00000000000006,1559.5728602092352,True
2022-03-28,3506.0000000000014,3170.9999999999995,2992.874872294371,True
2022-03-29,2822.0,2130.9999999999995,2607.5040655054922,True
2022-03-30,3128.0000000000005,2876.0000000000005,3400.217620485934,True
2022-03-31,2886.000000000001,1492.9999999999995,3688.8493005646083,True
2022-04-01,3113.0000000000014,734.0,3515.213546633355,True
2022-04-02,1611.9999999999998,1817.0,1567.0258699388842,True
2022-04-03,416.0,246.0,1396.5095169552671,True
2022-04-04,3266.000000000001,3506.0000000000014,3067.5896748737364,True
2022-04-05,2408.0000000000005,2822.0,2846.8218128410617,True
2022-04-06,2187.0,3128.0000000000005,3343.6366886883334,True
2022-04-07,2755.0000000000005,2886.000000000001,3471.2560043531353,True
2022-04-08,2608.0,3113.0000000000014,3294.7915366640705,True
2022-04-09,1386.9999999999998,1611.9999999999998,1754.4195895090647,True
2022-04-10,996.0,416.0,1588.4241953463206,True
2022-04-11,3502.0000000000014,3266.000000000001,3828.512224042161,True
2022-04-12,2928.0000000000005,2408.0000000000005,2656.460759260305,True
2022-04-13,3446.000000000001,2187.0,2765.6225065983563,True
2022-04-14,2413.0,2755.0000000000005,2888.381389150098,True
2022-04-15,2197.0,2608.0,3096.250207809996,True
2022-04-16,1218.9999999999995,1386.9999999999998,1571.4859445396557,True
2022-04-17,551.0000000000001,996.0,1525.6962846320346,True
2022-04-18,2819.0000000000005,3502.0000000000014,3657.47405358027,True
2022-04-19,2119.0000000000005,2928.0000000000005,3266.177599083327,True
2022-04-20,2347.0,3446.000000000001,3027.371494165014,True
2022-04-21,3902.000000000001,2413.0,3063.9592849929963,True
2022-04-22,1808.000000000001,2197.0,2860.8541043067976,True
2022-04-23,871.9999999999998,1218.9999999999995,1584.9356385281383,True
2022-04-24,0.0,551.0000000000001,1597.4731298701302,True
2022-04-25,1456.0,2819.0000000000005,2662.280247946498,True
2022-04-26,3316.0,2119.0000000000005,2662.19549711585,True
2022-04-27,1788.9999999999986,2347.0,2816.18769946075,True
2022-04-28,3125.0,3902.000000000001,3260.5127267223456,True
2022-04-29,2870.0,1808.000000000001,2915.0220346832475,True
2022-04-30,1481.9999999999998,871.9999999999998,1732.3325484667737,True
2022-05-01,,0.0,1446.1546994949492,False
